rep,id,Cl,V1,Q,V2,R0,kout,IC50
5,30,2.82257,1.10822,2.39093,4.97528,1117.54,0.005863,1.37726e-10
6,30,2.82299,1.08556,2.32821,4.95808,1123.84,0.0099419,3.98225e-10
7,30,2.82036,1.0737,2.32698,4.98041,1126.35,0.00584083,1.47339e-10
8,30,2.8291,1.11176,2.32465,4.91131,1109.89,0.00779265,1.67223e-10
9,30,2.8246,1.04056,2.35968,4.98862,1119.61,0.00738425,2.56526e-10
10,30,2.82188,1.08105,2.30936,4.84687,1128.38,0.00689403,1.99055e-10
1,31,2.81678,0.84702,2.3352,4.9871,1120.88,0.00721061,2.86258e-10
2,31,2.81695,0.829466,2.30821,4.97543,1126.06,0.00899236,1.35372e-10
3,31,2.82026,0.834173,2.31467,4.97937,1118.02,0.0104391,9.7305e-11
4,31,2.80246,0.838463,2.32837,5.0167,1122.81,0.00963629,4.7987e-10
5,31,2.82303,0.833068,2.32961,4.83086,1106.67,0.00925871,1.61602e-10
6,31,2.81695,0.812825,2.34933,4.96924,1114.02,0.0110012,1.56456e-10
7,31,2.81608,0.805593,2.33103,5.03594,1123.96,0.00884527,2.26961e-10
8,31,2.82762,0.794864,2.31709,4.94209,1120.98,0.0092534,1.93521e-10
9,31,2.82073,0.839249,2.31861,4.95912,1116.88,0.00734177,3.07669e-10
10,31,2.81613,0.778532,2.31905,4.93647,1113.32,0.0114245,2.1805e-10
1,32,2.82069,0.33621,2.36219,4.98698,1111.79,0.0120948,1.63659e-10
2,32,2.8076,0.346255,2.34618,5.03716,1111.04,0.00975671,1.59058e-10
3,32,2.80927,0.317611,2.3391,4.82622,1111.09,0.0105208,2.63149e-10
4,32,2.81781,0.333031,2.35609,4.99832,1114.6,0.0104988,1.56381e-10
5,32,2.82183,0.328966,2.31782,4.91586,1107.29,0.00869005,2.52279e-10
6,32,2.8147,0.316195,2.33401,4.854,1114.97,0.00750392,9.81628e-11
7,32,2.82262,0.329434,2.31516,4.90645,1112.38,0.00900289,2.0256e-10
8,32,2.81934,0.307739,2.35276,4.89714,1125.93,0.00976785,5.03272e-10
9,32,2.81306,0.357005,2.32779,4.95552,1108.91,0.00877174,1.06291e-10
10,32,2.81074,0.309557,2.3241,4.91618,1110.71,0.0105353,1.35078e-10
1,33,2.81795,0.744728,2.32397,4.92008,1124.89,0.00996726,2.74136e-10
2,33,2.81395,0.757635,2.32117,4.91819,1121.54,0.00856386,1.35258e-10
