rep,id,eta_Cl,eta_V1,eta_Q,eta_V2,eta_R0,eta_kout,eta_IC50
6,25,0.000633973,-0.0921759,-0.0104488,-0.00936879,0.00810818,-0.538542,-0.232452
7,25,0.00142475,-0.0510766,-0.00668143,0.00671273,0.00124129,-0.309582,0.107988
8,25,0.00503075,-0.125479,3.07751e-05,0.0102566,0.00889975,0.23955,0.0918897
9,25,0.00186206,-0.0778895,-0.00258027,0.00296651,-7.31257e-05,-0.325667,0.386081
10,25,-0.00379179,-0.0491536,-0.00389951,0.0104985,-0.000344789,-0.088516,-0.129845
1,26,0.00411127,-0.190012,-0.00273009,0.00538868,0.000488647,-0.091592,0.792032
2,26,0.000720438,-0.253534,0.0160178,0.00746287,0.000289636,-0.102847,-0.283832
3,26,-0.00122504,-0.254623,-0.00323334,-0.000476171,-0.00383231,-0.210804,0.191979
4,26,0.00124701,-0.209305,-0.00624416,0.00256744,0.00275904,0.0413709,-0.408192
5,26,0.00129339,-0.228131,-0.00792355,-0.00632875,-0.00180253,0.136721,-0.196089
6,26,-0.000815638,-0.302047,0.000892699,0.000443575,0.0110606,-0.364877,0.330026
7,26,0.00483723,-0.2706,0.00716954,0.00879189,0.000200839,-0.215165,0.477689
8,26,-0.0018636,-0.292865,0.00170583,0.00978327,-0.00879587,-0.159974,0.0462882
9,26,-0.000645681,-0.186262,-0.00831116,-0.000401041,-0.0116363,0.219755,-0.762693
10,26,-0.000875476,-0.212643,0.00268178,0.0151921,0.00165718,-0.210833,-0.424731
1,27,0.00132485,-0.177012,-0.00994763,-0.0023717,-0.00448879,-0.151592,-0.610895
2,27,0.00606042,-0.0989273,-0.00270683,-0.00286873,-0.00366058,-0.0846435,0.399191
3,27,-0.00367203,-0.141146,-0.00464306,-0.00738689,0.00051965,0.134876,0.432943
4,27,-0.000976731,-0.122502,-0.0032838,0.00867362,-0.00501104,-0.273623,0.189294
5,27,0.00379666,-0.159382,-0.00894592,2.44882e-06,-0.000754678,-0.167777,0.83149
6,27,-0.00156864,-0.155075,0.00683503,0.0101324,0.0040185,-0.036071,-0.0190812
7,27,-0.00426697,-0.151849,-0.00115529,0.00581357,0.00138882,0.0771097,0.0891044
8,27,0.00880746,-0.168793,-0.0119925,0.0153097,0.0106522,0.0389393,-0.212775
9,27,-0.0038445,-0.173454,-0.00882177,-0.00993923,0.00587124,-0.0173542,-0.853598
10,27,0.00284094,-0.132162,-0.0103425,0.00865788,-0.000735404,-0.107639,0.208129
1,28,0.00126205,0.341874,-0.00538538,0.000614446,0.00625287,0.314329,0.255778
2,28,0.00500654,0.308238,-0.00610842,-0.00126532,-0.000535858,0.148052,0.290438
3,28,0.00509829,0.289912,-0.0219555,-0.00262297,0.00620705,-0.0603684,0.539121
4,28,0.00162178,0.289092,-0.00671138,0.00450983,0.00527116,-0.0609411,0.724348
5,28,-0.000310071,0.284665,-0.0062712,0.00481607,-0.00305204,-0.324709,-0.0431465
6,28,-0.00347639,0.280098,-0.00186815,0.00804986,0.00759804,0.161408,-0.51026
7,28,0.00401303,0.309154,-0.0101819,-0.00379902,0.000262478,-0.0413269,-0.0270465
8,28,-0.000718208,0.301589,-0.011097,0.00698828,0.00409713,0.0930661,-0.245105
9,28,0.00831719,0.314705,0.00270499,-0.00362795,0.00521302,-0.253718,-0.297251
10,28,0.00649104,0.359791,-0.0109432,0.0103858,0.000584176,0.000811673,0.528349
1,29,-0.00138435,-0.0356945,0.0109506,0.00876517,0.00621423,-0.233712,-0.773044
2,29,-1.64041e-05,-0.038634,0.0105502,0.0225344,0.00500744,-0.152824,0.054044
3,29,0.000443731,-0.102378,0.0120475,0.0136874,-0.0117781,0.335104,-0.744388
4,29,-0.0023347,-0.093851,-0.00813437,0.0163867,-0.0143298,-0.196161,-0.135802
5,29,0.00126743,-0.0811674,-0.000463344,0.00270065,0.00603217,-0.150722,0.350872
6,29,-0.0012215,-0.0569319,-0.00351833,0.00868998,0.00435863,0.0124609,-0.0509838
7,29,0.00433268,0.0296829,-1.52233e-05,0.000641651,0.00262304,0.0613054,0.160216
8,29,-0.00228097,-0.092809,0.000645339,-0.00488595,-0.00749452,-0.025067,-0.249474
9,29,-5.81717e-05,-0.116665,-0.00979532,-0.000136906,-0.000130974,0.0451128,-0.171093
